Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Harrisburg/Scranton,Weekly,"2020-03-15 00:00:00","Conventional ",1.110000000,429187.39,135787.00,143139.76,196.03,150064.60,121484.78,25486.49,3093.33
Hartford/Springfield,Weekly,"2020-03-15 00:00:00","Conventional ",1.490000000,434088.92,13931.88,328791.92,303.41,91061.71,68780.02,20502.80,1778.89
Houston,Weekly,"2020-03-15 00:00:00","Conventional ",0.820000000,1765194.40,797236.98,158052.73,1245.53,808659.16,245389.27,552077.50,11192.39
Indianapolis,Weekly,"2020-03-15 00:00:00","Conventional ",1.190000000,314322.28,87595.10,33690.68,4333.29,188703.21,174736.95,12231.20,1735.06
Jacksonville,Weekly,"2020-03-15 00:00:00","Conventional ",1.080000000,277685.72,105335.78,9203.64,185.64,162960.66,51200.25,111737.12,23.29
"Las Vegas",Weekly,"2020-03-15 00:00:00","Conventional ",0.980000000,485946.36,67779.58,51397.17,55.35,366714.26,116204.22,249190.81,1319.23
"Los Angeles",Weekly,"2020-03-15 00:00:00","Conventional ",1.240000000,3552073.74,890592.23,91771.74,87468.29,2482241.48,1626507.22,734792.03,120942.23
Louisville,Weekly,"2020-03-15 00:00:00","Conventional ",1.040000000,155342.41,41416.48,10083.90,96.94,103745.09,81022.91,22718.85,3.33
"Miami/Ft. Lauderdale",Weekly,"2020-03-15 00:00:00","Conventional ",1.090000000,1229956.20,529842.70,48237.29,366.09,651510.12,197982.14,453468.09,59.89
Midsouth,Weekly,"2020-03-15 00:00:00","Conventional ",1.130000000,5118659.54,1684182.37,983391.45,10105.65,2440980.07,1732008.70,686494.82,22476.55
Nashville,Weekly,"2020-03-15 00:00:00","Conventional ",0.960000000,372081.93,137090.81,8303.13,11.99,226676.00,199324.87,27325.03,26.10
"New Orleans/Mobile",Weekly,"2020-03-15 00:00:00","Conventional ",1.000000000,423012.36,199354.63,14232.63,7.00,209418.10,153951.31,47100.13,8366.66
"New York",Weekly,"2020-03-15 00:00:00","Conventional ",1.520000000,2244410.56,67897.36,1273352.89,1971.82,901188.49,679619.60,215650.23,5918.66
Northeast,Weekly,"2020-03-15 00:00:00","Conventional ",1.380000000,6608332.95,563551.77,3527196.33,10421.57,2507163.28,1892257.08,577522.54,37383.66
"Northern New England",Weekly,"2020-03-15 00:00:00","Conventional ",1.280000000,693676.74,50613.42,480076.68,165.55,162821.09,114909.87,41823.18,6088.04
Orlando,Weekly,"2020-03-15 00:00:00","Conventional ",1.060000000,666212.61,287744.29,17759.39,130.57,360578.36,141993.31,218469.50,115.55
Philadelphia,Weekly,"2020-03-15 00:00:00","Conventional ",1.220000000,742606.53,84664.43,318244.62,352.65,339344.83,270504.99,65487.62,3352.22
Phoenix/Tucson,Weekly,"2020-03-15 00:00:00","Conventional ",0.870000000,1615386.29,404523.77,206796.33,5993.47,998072.72,278457.32,719554.19,61.21
Pittsburgh,Weekly,"2020-03-15 00:00:00","Conventional ",1.350000000,153946.34,46898.25,11802.41,338.69,94906.99,39812.65,55094.34,0.00
Plains,Weekly,"2020-03-15 00:00:00","Conventional ",1.220000000,2515256.91,954513.14,476428.63,2308.65,1082006.49,838466.79,170187.16,73352.54
Portland,Weekly,"2020-03-15 00:00:00","Conventional ",1.360000000,783929.20,82537.78,95474.71,2955.35,602936.53,325583.86,251053.42,26299.25
Raleigh/Greensboro,Weekly,"2020-03-15 00:00:00","Conventional ",1.110000000,531418.55,239764.60,78486.96,1693.18,211473.81,118617.30,92843.85,12.66
Richmond/Norfolk,Weekly,"2020-03-15 00:00:00","Conventional ",0.890000000,471085.43,160661.60,80794.63,683.35,228945.85,173559.30,48507.76,6878.79
Roanoke,Weekly,"2020-03-15 00:00:00","Conventional ",0.920000000,257788.24,91875.37,26240.75,67.06,139605.06,100170.28,37563.53,1871.25
Sacramento,Weekly,"2020-03-15 00:00:00","Conventional ",1.500000000,581877.89,169817.37,213813.90,1626.82,196619.80,111285.44,78373.83,6960.53
"San Diego",Weekly,"2020-03-15 00:00:00","Conventional ",1.190000000,776125.56,112324.11,29577.33,9419.78,624804.34,412554.25,207071.02,5179.07
"San Francisco",Weekly,"2020-03-15 00:00:00","Conventional ",1.630000000,1081607.55,251516.96,258946.57,3630.07,567513.95,177682.94,334299.53,55531.48
Seattle,Weekly,"2020-03-15 00:00:00","Conventional ",1.760000000,626458.65,78413.34,76664.90,283.87,471096.54,259676.04,210845.64,574.86
"South Carolina",Weekly,"2020-03-15 00:00:00","Conventional ",1.080000000,637234.49,280546.92,53466.62,729.88,302491.07,210597.74,91683.96,209.37
"South Central",Weekly,"2020-03-15 00:00:00","Conventional ",0.910000000,9026771.84,3885535.95,895035.44,63214.62,4182985.83,2541026.52,1547495.13,94464.18
Southeast,Weekly,"2020-03-15 00:00:00","Conventional ",1.050000000,6759933.38,2958161.46,268786.10,2341.67,3530644.15,1872416.42,1650977.94,7249.79
Spokane,Weekly,"2020-03-15 00:00:00","Conventional ",1.490000000,113859.82,21301.81,9966.48,104.30,82487.23,51647.61,30809.96,29.66
"St. Louis",Weekly,"2020-03-15 00:00:00","Conventional ",1.260000000,246899.27,100906.71,12573.48,418.71,133000.37,113745.00,2172.55,17082.82
Syracuse,Weekly,"2020-03-15 00:00:00","Conventional ",1.230000000,112159.95,8103.34,44090.67,859.27,59106.67,46080.08,11831.04,1195.55
Tampa,Weekly,"2020-03-15 00:00:00","Conventional ",1.040000000,716129.49,290908.20,23436.31,352.71,401432.27,131986.69,269418.91,26.67
"Total U.S.",Weekly,"2020-03-15 00:00:00","Conventional ",1.160000000,51540125.03,14968568.53,8766717.02,452355.38,27352451.88,16100499.57,10631015.21,620937.10
West,Weekly,"2020-03-15 00:00:00","Conventional ",1.120000000,9012636.67,1910414.83,1004165.09,32842.92,6065181.61,2426321.25,3519359.32,119501.04
"West Tex/New Mexico",Weekly,"2020-03-15 00:00:00","Conventional ",0.950000000,1180899.87,460868.79,112752.20,30449.05,576829.83,336194.42,239062.75,1572.66
Albany,Weekly,"2020-03-15 00:00:00",Organic,1.540000000,3875.67,58.47,403.20,0.00,3414.00,1579.38,1834.62,0.00
Atlanta,Weekly,"2020-03-15 00:00:00",Organic,1.490000000,45501.48,222.22,4197.36,0.00,41081.90,22113.65,18968.25,0.00
Baltimore/Washington,Weekly,"2020-03-15 00:00:00",Organic,1.460000000,63574.13,423.64,6486.82,17.00,56646.67,54500.76,2145.91,0.00
Boise,Weekly,"2020-03-15 00:00:00",Organic,1.940000000,5568.34,1.35,655.38,9.44,4902.17,2560.23,2341.94,0.00
Boston,Weekly,"2020-03-15 00:00:00",Organic,1.860000000,39102.10,76.33,2542.10,0.00,36483.67,30749.99,5733.68,0.00
Buffalo/Rochester,Weekly,"2020-03-15 00:00:00",Organic,1.340000000,14029.90,495.76,289.15,0.00,13244.99,7452.01,5792.98,0.00
California,Weekly,"2020-03-15 00:00:00",Organic,2.040000000,437620.84,36351.68,35693.57,32.32,365543.27,270425.52,95117.75,0.00
Charlotte,Weekly,"2020-03-15 00:00:00",Organic,1.460000000,22202.77,120.58,4907.15,57.02,17118.02,5193.97,11924.05,0.00
Chicago,Weekly,"2020-03-15 00:00:00",Organic,1.990000000,47346.67,576.23,4017.61,0.00,42752.83,37971.64,4781.19,0.00
Cincinnati/Dayton,Weekly,"2020-03-15 00:00:00",Organic,1.480000000,40530.12,91.00,2541.81,0.00,37897.31,23684.49,14212.82,0.00
Columbus,Weekly,"2020-03-15 00:00:00",Organic,1.310000000,27353.96,747.51,941.25,0.00,25665.20,20206.77,5458.43,0.00
"Dallas/Ft. Worth",Weekly,"2020-03-15 00:00:00",Organic,1.370000000,52972.01,3724.97,127.68,543.33,48576.03,45172.70,3403.33,0.00
Denver,Weekly,"2020-03-15 00:00:00",Organic,1.520000000,48029.15,4049.51,1294.72,27.07,42657.85,42432.79,225.06,0.00
Detroit,Weekly,"2020-03-15 00:00:00",Organic,1.330000000,57517.66,421.33,2821.39,0.00,54262.63,42097.68,12164.95,0.00
"Grand Rapids",Weekly,"2020-03-15 00:00:00",Organic,0.900000000,25547.89,4.43,1672.71,0.00,23870.75,23558.79,311.96,0.00
"Great Lakes",Weekly,"2020-03-15 00:00:00",Organic,1.400000000,366263.59,5883.17,19665.51,9.48,340625.96,280485.57,60140.39,0.00
Harrisburg/Scranton,Weekly,"2020-03-15 00:00:00",Organic,1.380000000,18888.08,649.67,458.09,0.00,17780.32,17241.92,538.40,0.00
Hartford/Springfield,Weekly,"2020-03-15 00:00:00",Organic,2.130000000,15724.77,468.06,8421.75,0.00,6834.96,6717.59,117.37,0.00
Houston,Weekly,"2020-03-15 00:00:00",Organic,1.630000000,33993.66,5582.03,158.41,2.28,28250.94,28238.30,12.64,0.00
Indianapolis,Weekly,"2020-03-15 00:00:00",Organic,1.400000000,16329.30,388.20,842.26,0.00,15098.84,10762.38,4336.46,0.00
Jacksonville,Weekly,"2020-03-15 00:00:00",Organic,1.170000000,5122.12,109.44,283.02,0.00,4729.66,4729.66,0.00,0.00
"Las Vegas",Weekly,"2020-03-15 00:00:00",Organic,1.590000000,10881.67,550.43,525.85,0.00,9805.39,9696.23,109.16,0.00
"Los Angeles",Weekly,"2020-03-15 00:00:00",Organic,2.100000000,187548.61,11473.26,3680.99,1.64,172392.72,108462.15,63930.57,0.00
Louisville,Weekly,"2020-03-15 00:00:00",Organic,1.130000000,12007.53,7.28,877.33,0.00,11122.92,8325.76,2797.16,0.00
"Miami/Ft. Lauderdale",Weekly,"2020-03-15 00:00:00",Organic,1.210000000,18949.73,948.59,6.79,0.00,17994.35,17991.02,3.33,0.00
Midsouth,Weekly,"2020-03-15 00:00:00",Organic,1.460000000,291154.92,2852.41,33763.36,262.65,254276.50,197163.60,57112.90,0.00
Nashville,Weekly,"2020-03-15 00:00:00",Organic,1.510000000,14768.80,72.56,1341.73,0.00,13354.51,6648.40,6706.11,0.00
"New Orleans/Mobile",Weekly,"2020-03-15 00:00:00",Organic,1.330000000,8455.72,198.83,1.00,0.00,8255.89,6895.41,1360.48,0.00
"New York",Weekly,"2020-03-15 00:00:00",Organic,1.920000000,108261.31,20598.29,18855.62,1.79,68805.61,61983.79,6821.82,0.00
Northeast,Weekly,"2020-03-15 00:00:00",Organic,1.720000000,329301.14,30168.15,40523.64,3.16,258606.19,210504.85,48101.34,0.00
"Northern New England",Weekly,"2020-03-15 00:00:00",Organic,1.690000000,33566.29,61.56,934.02,0.00,32570.71,16159.61,16411.10,0.00
Orlando,Weekly,"2020-03-15 00:00:00",Organic,1.160000000,13239.40,169.83,2.39,0.00,13067.18,13063.85,3.33,0.00
Philadelphia,Weekly,"2020-03-15 00:00:00",Organic,1.760000000,34158.86,3251.14,4410.68,0.00,26497.04,22741.77,3755.27,0.00
Phoenix/Tucson,Weekly,"2020-03-15 00:00:00",Organic,1.600000000,22312.33,2245.18,1054.46,0.00,19012.69,18885.42,127.27,0.00
Pittsburgh,Weekly,"2020-03-15 00:00:00",Organic,1.230000000,26360.29,2370.23,20.66,0.00,23969.40,23969.40,0.00,0.00
Plains,Weekly,"2020-03-15 00:00:00",Organic,1.600000000,74728.10,8099.33,6519.79,41.21,60067.77,46906.82,13160.95,0.00
Portland,Weekly,"2020-03-15 00:00:00",Organic,2.050000000,52357.80,207.20,6553.59,1.73,45595.28,19289.30,26304.06,1.92
Raleigh/Greensboro,Weekly,"2020-03-15 00:00:00",Organic,2.070000000,21297.52,974.96,3887.47,89.62,16345.47,12394.92,3950.55,0.00
Richmond/Norfolk,Weekly,"2020-03-15 00:00:00",Organic,1.400000000,25824.57,27.78,2108.49,9.23,23679.07,20981.77,2697.30,0.00
Roanoke,Weekly,"2020-03-15 00:00:00",Organic,1.140000000,18435.47,52.77,1326.83,0.00,17055.87,12413.10,4642.77,0.00
Sacramento,Weekly,"2020-03-15 00:00:00",Organic,1.750000000,24996.16,4875.16,5060.02,1.41,15059.57,15031.55,28.02,0.00
"San Diego",Weekly,"2020-03-15 00:00:00",Organic,2.340000000,37445.42,1266.70,1313.43,1.72,34863.57,16014.50,18849.07,0.00
"San Francisco",Weekly,"2020-03-15 00:00:00",Organic,1.980000000,95518.17,10562.88,12064.75,13.42,72877.12,72819.13,57.99,0.00
Seattle,Weekly,"2020-03-15 00:00:00",Organic,1.930000000,98257.56,456.43,16099.15,17.08,81684.90,18269.88,63365.39,49.63
"South Carolina",Weekly,"2020-03-15 00:00:00",Organic,1.680000000,24348.08,504.07,4094.29,36.95,19712.77,10096.88,9615.89,0.00
"South Central",Weekly,"2020-03-15 00:00:00",Organic,1.480000000,215192.03,16713.92,2315.90,4867.18,191295.03,176163.82,15131.21,0.00
Southeast,Weekly,"2020-03-15 00:00:00",Organic,1.380000000,187998.17,3010.54,12961.77,39.12,171986.74,128140.30,43846.44,0.00
Spokane,Weekly,"2020-03-15 00:00:00",Organic,2.080000000,6001.64,69.53,621.46,0.00,5310.65,3321.22,1989.43,0.00
"St. Louis",Weekly,"2020-03-15 00:00:00",Organic,2.060000000,12415.90,1943.48,2584.14,15.77,7872.51,3467.68,4404.83,0.00
Syracuse,Weekly,"2020-03-15 00:00:00",Organic,1.470000000,4956.54,145.38,120.38,0.00,4690.78,2822.86,1867.92,0.00
Tampa,Weekly,"2020-03-15 00:00:00",Organic,1.160000000,13494.22,162.34,0.00,0.00,13331.88,13331.88,0.00,0.00
"Total U.S.",Weekly,"2020-03-15 00:00:00",Organic,1.660000000,2278473.29,118431.74,186208.86,6453.38,1967299.84,1521407.28,445840.08,52.48
West,Weekly,"2020-03-15 00:00:00",Organic,1.800000000,376214.58,15352.53,34765.33,1198.27,324898.45,211616.88,113229.09,52.48
"West Tex/New Mexico",Weekly,"2020-03-15 00:00:00",Organic,1.620000000,28102.40,864.02,681.82,3034.14,23522.42,22948.56,573.86,0.00
Albany,Weekly,"2020-03-22 00:00:00","Conventional ",1.290000000,182491.92,13928.75,131063.16,197.00,37303.01,22595.90,13209.33,1497.78
Atlanta,Weekly,"2020-03-22 00:00:00","Conventional ",1.020000000,907780.40,387374.32,31124.30,80.13,489201.65,418455.70,70715.70,30.25
Baltimore/Washington,Weekly,"2020-03-22 00:00:00","Conventional ",1.410000000,1194384.67,235185.65,428390.70,1296.84,529511.48,291960.08,232007.81,5543.59
Boise,Weekly,"2020-03-22 00:00:00","Conventional ",1.170000000,143357.23,39581.01,7286.63,1217.30,95272.29,55214.66,28368.00,11689.63
Boston,Weekly,"2020-03-22 00:00:00","Conventional ",1.520000000,824190.42,29147.28,518502.49,509.82,276030.83,207859.21,64742.29,3429.33
Buffalo/Rochester,Weekly,"2020-03-22 00:00:00","Conventional ",1.230000000,199662.94,15230.87,54033.05,2326.57,128072.45,96734.57,28832.33,2505.55
California,Weekly,"2020-03-22 00:00:00","Conventional ",1.390000000,6076217.22,1849049.45,743511.25,112215.16,3371441.36,1733154.07,1493964.86,144322.43
Charlotte,Weekly,"2020-03-22 00:00:00","Conventional ",1.240000000,366466.57,154244.15,58300.77,1715.39,152206.26,110647.76,41512.71,45.79
Chicago,Weekly,"2020-03-22 00:00:00","Conventional ",1.490000000,821435.41,132120.62,211761.62,32990.38,444562.79,198579.37,245921.10,62.32
Cincinnati/Dayton,Weekly,"2020-03-22 00:00:00","Conventional ",1.120000000,378854.12,83659.76,14582.81,7986.82,272624.73,232692.64,39682.38,249.71
Columbus,Weekly,"2020-03-22 00:00:00","Conventional ",1.070000000,276681.77,74110.82,12105.80,1825.55,188639.60,161440.28,26848.15,351.17
"Dallas/Ft. Worth",Weekly,"2020-03-22 00:00:00","Conventional ",0.890000000,2019907.18,892447.39,200250.50,5895.10,921314.19,640930.88,280257.32,125.99
Denver,Weekly,"2020-03-22 00:00:00","Conventional ",1.180000000,1176425.17,232973.65,120924.01,3421.35,819106.16,222242.78,579404.90,17458.48
Detroit,Weekly,"2020-03-22 00:00:00","Conventional ",1.130000000,616455.72,153344.29,41828.63,38478.96,382803.84,352261.61,28552.83,1989.40
"Grand Rapids",Weekly,"2020-03-22 00:00:00","Conventional ",1.550000000,212203.19,47071.13,59397.90,42130.47,63603.69,49750.04,6613.63,7240.02
"Great Lakes",Weekly,"2020-03-22 00:00:00","Conventional ",1.200000000,4943041.42,1126878.49,728451.62,207752.51,2879958.80,2092330.21,760705.43,26923.16
Harrisburg/Scranton,Weekly,"2020-03-22 00:00:00","Conventional ",1.130000000,423734.22,129650.43,153514.61,261.11,140308.07,102041.97,34732.77,3533.33
Hartford/Springfield,Weekly,"2020-03-22 00:00:00","Conventional ",1.500000000,429038.43,13085.37,326107.29,324.03,89521.74,65666.04,22043.48,1812.22
Houston,Weekly,"2020-03-22 00:00:00","Conventional ",0.860000000,1742649.52,773304.20,199792.26,1423.46,768129.60,360182.97,399572.58,8374.05
Indianapolis,Weekly,"2020-03-22 00:00:00","Conventional ",1.060000000,329262.47,97264.59,30960.62,4159.27,196877.99,182880.64,13494.18,503.17
Jacksonville,Weekly,"2020-03-22 00:00:00","Conventional ",1.110000000,290118.36,118739.36,9098.67,231.21,162049.12,49100.85,112941.60,6.67
"Las Vegas",Weekly,"2020-03-22 00:00:00","Conventional ",1.030000000,420565.20,78235.13,48968.97,70.75,293290.35,87188.05,195715.96,10386.34
"Los Angeles",Weekly,"2020-03-22 00:00:00","Conventional ",1.300000000,2843211.59,925188.84,80038.24,84063.30,1753921.21,986882.09,657873.35,109165.77
Louisville,Weekly,"2020-03-22 00:00:00","Conventional ",1.090000000,143601.96,41131.91,10119.46,117.85,92232.74,71238.43,20983.11,11.20
"Miami/Ft. Lauderdale",Weekly,"2020-03-22 00:00:00","Conventional ",1.110000000,1308921.25,585953.33,45060.70,679.81,677227.41,198337.23,478862.89,27.29
Midsouth,Weekly,"2020-03-22 00:00:00","Conventional ",1.170000000,4770988.98,1554008.04,929421.02,8066.66,2279493.26,1584181.25,675863.42,19448.59
Nashville,Weekly,"2020-03-22 00:00:00","Conventional ",0.970000000,353686.02,132525.33,7680.31,30.75,213449.63,187445.20,25972.24,32.19
"New Orleans/Mobile",Weekly,"2020-03-22 00:00:00","Conventional ",0.970000000,369923.68,193083.93,13684.59,13.06,163142.10,116518.65,38746.79,7876.66
"New York",Weekly,"2020-03-22 00:00:00","Conventional ",1.570000000,2025257.89,72474.99,1114573.06,975.37,837234.47,590663.57,240184.23,6386.67
Northeast,Weekly,"2020-03-22 00:00:00","Conventional ",1.430000000,6256808.81,530457.78,3400038.92,10004.08,2316308.03,1640144.14,641614.28,34549.61
"Northern New England",Weekly,"2020-03-22 00:00:00","Conventional ",1.300000000,682029.66,51539.94,455278.19,127.90,175083.63,125548.96,44708.43,4826.24
Orlando,Weekly,"2020-03-22 00:00:00","Conventional ",1.080000000,719787.23,330168.70,18780.74,156.00,370681.79,155482.47,215183.76,15.56
Philadelphia,Weekly,"2020-03-22 00:00:00","Conventional ",1.360000000,642833.44,83061.22,263456.46,472.93,295842.83,214013.61,78347.00,3482.22
Phoenix/Tucson,Weekly,"2020-03-22 00:00:00","Conventional ",0.830000000,1559597.93,490963.83,191059.35,5795.86,871778.89,225725.82,640831.47,5221.60
Pittsburgh,Weekly,"2020-03-22 00:00:00","Conventional ",1.350000000,144916.02,37862.98,20288.31,378.44,86386.29,37328.10,49058.19,0.00
Plains,Weekly,"2020-03-22 00:00:00","Conventional ",1.210000000,2565738.27,1035083.86,487299.13,2565.09,1040790.19,791404.43,184324.61,65061.15
Portland,Weekly,"2020-03-22 00:00:00","Conventional ",1.240000000,864578.90,79528.64,121175.52,2825.20,661039.79,332991.92,307252.71,20795.16
Raleigh/Greensboro,Weekly,"2020-03-22 00:00:00","Conventional ",1.170000000,457030.49,203058.50,69534.38,1360.56,183077.05,104709.34,78367.71,0.00
Richmond/Norfolk,Weekly,"2020-03-22 00:00:00","Conventional ",0.990000000,409457.08,123096.86,72190.95,561.36,213607.91,165448.81,42422.43,5736.67
Roanoke,Weekly,"2020-03-22 00:00:00","Conventional ",1.020000000,238521.26,77741.78,24752.74,53.63,135973.11,100014.16,34545.62,1413.33
Sacramento,Weekly,"2020-03-22 00:00:00","Conventional ",1.510000000,475948.96,153027.89,158822.83,1767.39,162330.85,86004.85,73436.08,2889.92
"San Diego",Weekly,"2020-03-22 00:00:00","Conventional ",1.320000000,550646.82,120779.35,25294.24,9826.45,394746.78,211574.94,178024.69,5147.15
"San Francisco",Weekly,"2020-03-22 00:00:00","Conventional ",1.670000000,867674.71,195881.69,208750.10,4155.30,458887.62,155033.97,298050.61,5803.04
Seattle,Weekly,"2020-03-22 00:00:00","Conventional ",1.670000000,691580.74,74381.57,94872.73,482.73,521843.71,222790.18,298697.63,355.90
"South Carolina",Weekly,"2020-03-22 00:00:00","Conventional ",1.110000000,588433.49,239334.92,47723.13,644.01,300731.43,214976.82,85723.99,30.62
"South Central",Weekly,"2020-03-22 00:00:00","Conventional ",0.920000000,9044037.82,4027058.40,963863.56,51681.48,4001434.38,2642466.60,1274414.73,84553.05
Southeast,Weekly,"2020-03-22 00:00:00","Conventional ",1.060000000,6730447.52,3124791.97,256650.02,3193.38,3345812.15,1798149.12,1541122.19,6540.84
Spokane,Weekly,"2020-03-22 00:00:00","Conventional ",1.390000000,112218.69,19092.92,11306.52,109.09,81710.16,43113.88,38578.85,17.43
"St. Louis",Weekly,"2020-03-22 00:00:00","Conventional ",1.170000000,266433.45,126931.34,13097.27,305.97,126098.87,108178.99,2840.09,15079.79
Syracuse,Weekly,"2020-03-22 00:00:00","Conventional ",1.300000000,104258.79,6484.19,49320.24,1135.93,47318.43,34234.92,12017.95,1065.56
Tampa,Weekly,"2020-03-22 00:00:00","Conventional ",1.070000000,747033.47,378932.88,25070.43,881.00,342149.16,133042.40,209094.54,12.22
"Total U.S.",Weekly,"2020-03-22 00:00:00","Conventional ",1.160000000,48981846.51,15236174.50,8484263.47,425086.68,24836313.77,14431165.98,9912371.31,492776.48
West,Weekly,"2020-03-22 00:00:00","Conventional ",1.110000000,8594566.30,1988846.51,975027.96,29608.33,5601075.41,2149336.02,3340361.74,111377.65
"West Tex/New Mexico",Weekly,"2020-03-22 00:00:00","Conventional ",0.980000000,1100474.37,476979.91,99249.46,25498.66,498746.34,308884.10,188692.18,1170.06
Albany,Weekly,"2020-03-22 00:00:00",Organic,1.510000000,3804.66,67.99,374.35,0.00,3362.32,1578.58,1783.74,0.00
Atlanta,Weekly,"2020-03-22 00:00:00",Organic,1.440000000,31833.91,235.83,3449.10,0.00,28148.98,23641.43,4507.55,0.00
Baltimore/Washington,Weekly,"2020-03-22 00:00:00",Organic,1.460000000,58900.54,384.73,4451.80,25.68,54038.33,50909.91,3128.42,0.00
Boise,Weekly,"2020-03-22 00:00:00",Organic,1.880000000,4409.00,0.00,569.74,0.00,3839.26,1111.85,2727.41,0.00
Boston,Weekly,"2020-03-22 00:00:00",Organic,1.930000000,32801.64,194.68,1330.59,0.00,31276.37,27222.25,4054.12,0.00
Buffalo/Rochester,Weekly,"2020-03-22 00:00:00",Organic,1.370000000,10358.38,832.16,146.28,0.00,9379.94,3177.49,6202.45,0.00
California,Weekly,"2020-03-22 00:00:00",Organic,1.940000000,337173.81,18839.27,27296.62,11.96,291025.96,220085.70,70940.26,0.00
Charlotte,Weekly,"2020-03-22 00:00:00",Organic,1.500000000,19492.45,157.64,4320.04,58.93,14955.84,6809.11,8146.73,0.00
